start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
1	229	130	-1	-1	2	130	-1
419	1128	-1	1007	1101	3	-1	-1
1685	1884	-1	-1	-1	5	-1	-1
2074	2558	-1	-1	-1	5	-1	-1
2748	3458	-1	3336	3430	3	-1	-1
4202	4313	-1	-1	-1	5	-1	-1
4502	4513	-1	-1	-1	5	-1	-1
4702	5167	-1	-1	-1	5	-1	-1
5357	5365	-1	-1	-1	5	-1	-1
5555	6265	-1	6143	6237	3	-1	-1
6890	6931	-1	-1	-1	5	-1	-1
7120	7380	-1	-1	-1	5	-1	-1
7569	8053	-1	-1	-1	5	-1	-1
8242	8492	-1	-1	-1	5	-1	-1
8681	9017	-1	-1	-1	5	-1	-1
9206	9916	-1	9794	9888	3	-1	-1
10174	10189	-1	-1	-1	5	-1	-1
10378	10472	-1	-1	-1	5	-1	-1
10662	11149	-1	-1	-1	5	-1	-1
11339	11580	-1	-1	-1	5	-1	-1
11770	12111	-1	-1	-1	5	-1	-1
12300	12698	-1	-1	-1	5	-1	-1
12887	13597	-1	13476	13569	3	-1	-1
14181	14266	-1	-1	-1	5	-1	-1
14456	14885	-1	-1	-1	5	-1	-1
15075	15383	-1	-1	-1	5	-1	-1
15573	16283	-1	16161	16255	3	-1	-1
16878	17123	-1	-1	-1	5	-1	-1
17313	17811	-1	-1	-1	5	-1	-1
18001	18037	-1	-1	-1	5	-1	-1
18227	18914	18815	-1	-1	2	-1	18815
19104	19792	19692	-1	-1	2	-1	19692
19981	20691	-1	20569	20663	3	-1	-1
20988	21001	-1	-1	-1	5	-1	-1
21190	21215	-1	-1	-1	5	-1	-1
21405	21849	-1	-1	-1	5	-1	-1
