start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
1	318	-1	-1	-1	5	-1	-1
508	1218	-1	1096	1190	3	-1	-1
1761	1764	-1	-1	-1	5	-1	-1
1953	2115	-1	-1	-1	5	-1	-1
2304	2991	2893	-1	-1	2	2893	-1
3180	3867	3769	-1	-1	2	3769	-1
4057	4766	-1	4645	4739	3	-1	-1
5733	6420	6322	-1	-1	2	6322	-1
6610	7278	7198	-1	7250	1	7198	-1
7778	7822	-1	-1	-1	5	-1	-1
8012	8375	-1	-1	-1	5	-1	-1
8565	9238	9153	-1	9210	1	-1	9153
10205	10650	-1	-1	-1	5	-1	-1
10840	11200	-1	-1	-1	5	-1	-1
11389	11399	-1	-1	-1	5	-1	-1
11588	12298	-1	12176	12270	3	-1	-1
13036	13182	-1	-1	-1	5	-1	-1
13371	13723	-1	-1	-1	5	-1	-1
13913	14621	14501	-1	14593	1	14501	-1
15230	15357	-1	-1	-1	5	-1	-1
15546	16067	-1	-1	-1	5	-1	-1
16257	16675	-1	-1	-1	5	-1	-1
16864	17574	-1	17453	17546	3	-1	-1
17935	17948	-1	-1	-1	5	-1	-1
18138	18170	-1	-1	-1	5	-1	-1
18360	18916	-1	-1	-1	5	-1	-1
19105	19527	-1	-1	-1	5	-1	-1
