start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
22	606	-1	-1	-1	5	-1	-1
796	1370	-1	-1	-1	5	-1	-1
1559	2269	-1	2148	2241	3	-1	-1
3236	3672	-1	-1	-1	5	-1	-1
3862	4356	-1	-1	-1	5	-1	-1
4546	5027	-1	-1	-1	5	-1	-1
5216	5721	-1	-1	-1	5	-1	-1
5911	6266	-1	-1	-1	5	-1	-1
6456	6828	-1	-1	-1	5	-1	-1
7018	7728	-1	7607	7700	3	-1	-1
8294	8388	-1	-1	-1	5	-1	-1
8578	9288	-1	9166	9260	3	-1	-1
10444	10660	-1	-1	-1	5	-1	-1
10850	11106	-1	-1	-1	5	-1	-1
11295	11688	-1	-1	-1	5	-1	-1
12014	12032	-1	-1	-1	5	-1	-1
12221	12509	-1	-1	-1	5	-1	-1
12698	13239	-1	-1	-1	5	-1	-1
13429	13718	-1	-1	-1	5	-1	-1
13908	14618	-1	14496	14590	3	-1	-1
15235	15254	-1	-1	-1	5	-1	-1
15640	16113	-1	-1	-1	5	-1	-1
