start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
1	124	-1	-1	-1	5	-1	-1
467	1025	-1	-1	-1	5	-1	-1
1214	1482	-1	-1	-1	5	-1	-1
1671	2381	-1	2260	2353	3	-1	-1
3349	3488	-1	-1	-1	5	-1	-1
3677	3970	-1	-1	-1	5	-1	-1
4160	4656	-1	-1	-1	5	-1	-1
4846	4941	-1	-1	-1	5	-1	-1
5131	5581	-1	-1	-1	5	-1	-1
5770	6480	-1	6359	6452	3	-1	-1
7104	7124	-1	-1	-1	5	-1	-1
7313	7484	-1	-1	-1	5	-1	-1
7674	8086	-1	-1	-1	5	-1	-1
8275	8635	-1	-1	-1	5	-1	-1
8824	9209	-1	-1	-1	5	-1	-1
9398	9408	-1	-1	-1	5	-1	-1
9598	10040	-1	-1	-1	5	-1	-1
10302	10828	-1	-1	-1	5	-1	-1
11018	11520	-1	-1	-1	5	-1	-1
11710	12156	-1	-1	-1	5	-1	-1
12346	12389	-1	-1	-1	5	-1	-1
12579	13289	-1	13167	13261	3	-1	-1
13946	14030	-1	-1	-1	5	-1	-1
14220	14326	-1	-1	-1	5	-1	-1
14516	14926	-1	-1	-1	5	-1	-1
15116	15458	-1	-1	-1	5	-1	-1
15648	15653	-1	-1	-1	5	-1	-1
15842	16218	-1	-1	-1	5	-1	-1
16407	16933	-1	-1	-1	5	-1	-1
