start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
1	31	-1	-1	-1	5	-1	-1
275	381	-1	-1	-1	5	-1	-1
571	1261	1159	-1	1233	1	-1	1159
2629	2746	-1	-1	-1	5	-1	-1
3142	3598	-1	-1	-1	5	-1	-1
3787	4479	4376	-1	4451	1	4376	-1
5140	5181	-1	-1	-1	5	-1	-1
5371	5526	-1	-1	-1	5	-1	-1
5716	6059	-1	-1	-1	5	-1	-1
6248	6389	-1	-1	-1	5	-1	-1
6578	6878	-1	-1	-1	5	-1	-1
7067	7412	-1	-1	-1	5	-1	-1
7601	7624	-1	-1	-1	5	-1	-1
7814	8227	-1	-1	-1	5	-1	-1
8417	8745	-1	-1	-1	5	-1	-1
8935	8948	-1	-1	-1	5	-1	-1
9138	9436	-1	-1	-1	5	-1	-1
9664	10144	-1	-1	-1	5	-1	-1
10334	10520	-1	-1	-1	5	-1	-1
10710	10939	-1	-1	-1	5	-1	-1
11128	11137	-1	-1	-1	5	-1	-1
11326	11640	-1	-1	-1	5	-1	-1
11829	12136	-1	-1	-1	5	-1	-1
12387	13074	12975	-1	-1	2	12975	-1
13263	13522	-1	-1	-1	5	-1	-1
13711	13724	-1	-1	-1	5	-1	-1
13913	14623	-1	14502	14595	3	-1	-1
15046	15053	-1	-1	-1	5	-1	-1
15243	15433	-1	-1	-1	5	-1	-1
15623	15975	-1	-1	-1	5	-1	-1
16165	16308	-1	-1	-1	5	-1	-1
16497	17178	17086	-1	17150	1	17086	-1
17928	17993	-1	-1	-1	5	-1	-1
18182	18418	-1	-1	-1	5	-1	-1
18608	19132	-1	-1	-1	5	-1	-1
19322	19615	-1	-1	-1	5	-1	-1
19804	19915	-1	-1	-1	5	-1	-1
20104	20768	20693	-1	20740	1	-1	20693
21829	21934	-1	-1	-1	5	-1	-1
22323	22780	-1	-1	-1	5	-1	-1
