start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
186	234	-1	-1	-1	5	-1	-1
423	748	-1	-1	-1	5	-1	-1
938	1648	-1	1526	1620	3	-1	-1
2198	2302	-1	-1	-1	5	-1	-1
2491	3122	-1	3080	-1	4	-1	-1
3311	3863	-1	-1	-1	5	-1	-1
4152	4318	-1	-1	-1	5	-1	-1
4508	5082	-1	-1	-1	5	-1	-1
5272	5310	-1	-1	-1	5	-1	-1
5500	5796	-1	-1	-1	5	-1	-1
5985	6203	-1	-1	-1	5	-1	-1
6392	6883	-1	-1	-1	5	-1	-1
7260	7494	-1	-1	-1	5	-1	-1
7684	7747	-1	-1	-1	5	-1	-1
7937	8057	-1	-1	-1	5	-1	-1
8246	8741	-1	-1	-1	5	-1	-1
8930	9009	-1	-1	-1	5	-1	-1
9199	9863	9787	-1	9835	1	9787	-1
10053	10084	-1	-1	-1	5	-1	-1
10273	10493	-1	-1	-1	5	-1	-1
10683	11235	-1	-1	-1	5	-1	-1
11425	11466	-1	-1	-1	5	-1	-1
11656	12143	-1	-1	-1	5	-1	-1
12539	13249	-1	13128	13221	3	-1	-1
13529	13536	-1	-1	-1	5	-1	-1
13726	13987	-1	-1	-1	5	-1	-1
14177	14840	14766	-1	14812	1	14766	-1
15082	15119	-1	-1	-1	5	-1	-1
15309	15471	-1	-1	-1	5	-1	-1
15660	16061	-1	-1	-1	5	-1	-1
16250	16526	-1	-1	-1	5	-1	-1
16716	16731	-1	-1	-1	5	-1	-1
16921	17493	-1	-1	-1	5	-1	-1
17683	17689	-1	-1	-1	5	-1	-1
17878	17892	-1	-1	-1	5	-1	-1
18081	18149	-1	-1	-1	5	-1	-1
18339	18452	-1	-1	-1	5	-1	-1
18642	18730	-1	-1	-1	5	-1	-1
18920	19319	-1	-1	-1	5	-1	-1
19509	19608	-1	-1	-1	5	-1	-1
19798	20508	-1	20386	20480	3	-1	-1
20859	20995	-1	-1	-1	5	-1	-1
21185	21351	-1	-1	-1	5	-1	-1
