start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
1	320	-1	198	292	3	-1	-1
723	748	-1	-1	-1	5	-1	-1
937	953	-1	-1	-1	5	-1	-1
1142	1647	-1	-1	-1	5	-1	-1
1836	1869	-1	-1	-1	5	-1	-1
2059	2727	-1	2647	-1	4	-1	-1
3002	3712	-1	3591	3684	3	-1	-1
4277	4447	-1	-1	-1	5	-1	-1
4802	5271	-1	-1	-1	5	-1	-1
5460	5471	-1	-1	-1	5	-1	-1
5660	5857	-1	-1	-1	5	-1	-1
6047	6109	-1	-1	-1	5	-1	-1
6299	6540	-1	-1	-1	5	-1	-1
6729	6918	-1	-1	-1	5	-1	-1
7107	7152	-1	-1	-1	5	-1	-1
7341	7903	-1	-1	-1	5	-1	-1
8163	8593	-1	-1	-1	5	-1	-1
8782	9447	9371	-1	9419	1	9371	-1
9679	9711	-1	-1	-1	5	-1	-1
9901	9959	-1	-1	-1	5	-1	-1
10149	10455	-1	-1	-1	5	-1	-1
10645	11090	-1	-1	-1	5	-1	-1
11279	11455	-1	-1	-1	5	-1	-1
11644	11911	-1	-1	-1	5	-1	-1
12101	12114	-1	-1	-1	5	-1	-1
12303	12377	-1	-1	-1	5	-1	-1
12566	12707	-1	-1	-1	5	-1	-1
12897	13004	-1	-1	-1	5	-1	-1
13193	13632	-1	-1	-1	5	-1	-1
13822	14321	-1	-1	-1	5	-1	-1
14510	14876	-1	-1	-1	5	-1	-1
15169	15270	-1	-1	-1	5	-1	-1
15460	15548	-1	-1	-1	5	-1	-1
15738	16402	16326	-1	16374	1	16326	-1
16856	16933	-1	-1	-1	5	-1	-1
17122	17217	-1	-1	-1	5	-1	-1
17407	17910	-1	-1	-1	5	-1	-1
18100	18582	-1	-1	-1	5	-1	-1
18909	19152	-1	-1	-1	5	-1	-1
19342	19393	-1	-1	-1	5	-1	-1
19583	19834	-1	-1	-1	5	-1	-1
20024	20278	-1	-1	-1	5	-1	-1
20602	20815	-1	-1	-1	5	-1	-1
21005	21192	-1	-1	-1	5	-1	-1
21480	21743	-1	-1	-1	5	-1	-1
