start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
1	240	-1	-1	-1	5	-1	-1
474	629	-1	-1	-1	5	-1	-1
819	843	-1	-1	-1	5	-1	-1
1033	1069	-1	-1	-1	5	-1	-1
1258	1708	-1	-1	-1	5	-1	-1
1898	1903	-1	-1	-1	5	-1	-1
2093	2163	-1	-1	-1	5	-1	-1
2353	3040	2941	-1	-1	2	-1	2941
3229	3231	-1	-1	-1	5	-1	-1
3421	3495	-1	-1	-1	5	-1	-1
3685	4395	-1	4273	4367	3	-1	-1
4833	5078	-1	-1	-1	5	-1	-1
5267	5824	-1	-1	-1	5	-1	-1
6013	6389	-1	-1	-1	5	-1	-1
6578	6711	-1	-1	-1	5	-1	-1
6901	7186	-1	-1	-1	5	-1	-1
7414	7481	-1	-1	-1	5	-1	-1
7670	7710	-1	-1	-1	5	-1	-1
7899	8098	-1	-1	-1	5	-1	-1
8287	8958	8876	-1	8930	1	-1	8876
9435	9740	-1	-1	-1	5	-1	-1
9929	10639	-1	10518	10611	3	-1	-1
10991	11006	-1	-1	-1	5	-1	-1
11196	11284	-1	-1	-1	5	-1	-1
11473	11979	-1	-1	-1	5	-1	-1
12168	12855	12757	-1	-1	2	-1	12757
13045	13208	-1	-1	-1	5	-1	-1
13397	13659	-1	-1	-1	5	-1	-1
14002	14689	14591	-1	-1	2	14591	-1
14879	15588	-1	15467	15560	3	-1	-1
16167	16374	-1	-1	-1	5	-1	-1
16564	17251	17152	-1	-1	2	-1	17152
17441	17574	-1	-1	-1	5	-1	-1
17811	17974	-1	-1	-1	5	-1	-1
18163	18480	-1	-1	-1	5	-1	-1
18670	18677	-1	-1	-1	5	-1	-1
19024	19532	-1	-1	-1	5	-1	-1
19721	19752	-1	-1	-1	5	-1	-1
19942	20621	20531	-1	20593	1	20531	-1
21077	21266	-1	-1	-1	5	-1	-1
