start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
1	490	392	-1	-1	2	-1	392
934	1621	1522	-1	-1	2	-1	1522
1810	2497	2398	-1	-1	2	2398	-1
2686	3373	3275	-1	-1	2	3275	-1
3563	4250	4151	-1	-1	2	-1	4151
4439	5149	-1	5027	5121	3	-1	-1
5371	5402	-1	-1	-1	5	-1	-1
5592	6157	-1	-1	-1	5	-1	-1
6347	6744	-1	-1	-1	5	-1	-1
6934	6954	-1	-1	-1	5	-1	-1
7246	7956	-1	7835	7928	3	-1	-1
8146	8199	-1	-1	-1	5	-1	-1
8389	8488	-1	-1	-1	5	-1	-1
8793	9459	9381	-1	9431	1	-1	9381
9648	9773	-1	-1	-1	5	-1	-1
9962	10267	-1	-1	-1	5	-1	-1
10456	11030	-1	-1	-1	5	-1	-1
11349	12059	-1	11938	12031	3	-1	-1
12418	12895	-1	-1	-1	5	-1	-1
13085	13635	-1	-1	-1	5	-1	-1
13825	14535	-1	14413	14507	3	-1	-1
14938	15374	-1	-1	-1	5	-1	-1
15633	16301	16222	-1	16273	1	-1	16222
16490	16848	-1	-1	-1	5	-1	-1
17037	17536	-1	-1	-1	5	-1	-1
17726	17966	-1	-1	-1	5	-1	-1
18155	18821	18744	-1	18793	1	-1	18744
19010	19203	-1	-1	-1	5	-1	-1
19544	20195	-1	20133	-1	4	-1	-1
20384	21071	20973	-1	-1	2	-1	20973
21261	21952	21849	-1	21924	1	21849	-1
22141	22168	-1	-1	-1	5	-1	-1
22358	22702	-1	-1	-1	5	-1	-1
22983	23670	23571	-1	-1	2	23571	-1
23859	24523	24448	-1	24495	1	24448	-1
24765	25004	-1	-1	-1	5	-1	-1
