start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
1	375	276	-1	-1	2	276	-1
771	1481	-1	1359	1453	3	-1	-1
1984	2512	-1	-1	-1	5	-1	-1
2855	3542	3443	-1	-1	2	-1	3443
3731	4441	-1	4320	4413	3	-1	-1
4927	5637	-1	5516	5609	3	-1	-1
6267	6799	-1	-1	-1	5	-1	-1
7094	7755	7682	-1	7727	1	7682	-1
7945	8560	-1	8533	-1	4	-1	-1
8749	8760	-1	-1	-1	5	-1	-1
8950	9332	-1	-1	-1	5	-1	-1
9645	10355	-1	10233	10327	3	-1	-1
10981	11537	-1	-1	-1	5	-1	-1
11727	12437	-1	12315	12409	3	-1	-1
12951	13476	-1	-1	-1	5	-1	-1
13855	14280	-1	-1	-1	5	-1	-1
14668	15352	15256	-1	15325	1	15256	-1
16015	16694	16603	-1	16666	1	-1	16603
17198	17715	-1	-1	-1	5	-1	-1
17904	18572	18492	-1	18544	1	18492	-1
18762	18770	-1	-1	-1	5	-1	-1
18960	19402	-1	-1	-1	5	-1	-1
19591	20276	20180	-1	20248	1	-1	20180
20776	21177	-1	-1	-1	5	-1	-1
