start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
1	162	-1	-1	-1	5	-1	-1
352	744	-1	-1	-1	5	-1	-1
934	944	-1	-1	-1	5	-1	-1
1133	1538	-1	-1	-1	5	-1	-1
1727	2124	-1	-1	-1	5	-1	-1
2314	2595	-1	-1	-1	5	-1	-1
2988	3462	-1	-1	-1	5	-1	-1
3652	4234	-1	-1	-1	5	-1	-1
4424	5133	-1	5012	5105	3	-1	-1
5923	6051	-1	-1	-1	5	-1	-1
6241	6648	-1	-1	-1	5	-1	-1
6838	7065	-1	-1	-1	5	-1	-1
7254	7387	-1	-1	-1	5	-1	-1
7577	7982	-1	-1	-1	5	-1	-1
8171	8248	-1	-1	-1	5	-1	-1
8438	8905	-1	-1	-1	5	-1	-1
9094	9804	-1	9683	9776	3	-1	-1
11558	11652	-1	-1	-1	5	-1	-1
11841	12401	-1	-1	-1	5	-1	-1
12591	12696	-1	-1	-1	5	-1	-1
12886	13596	-1	13475	13568	3	-1	-1
14098	14106	-1	-1	-1	5	-1	-1
14296	14303	-1	-1	-1	5	-1	-1
14492	14974	-1	-1	-1	5	-1	-1
15164	15359	-1	-1	-1	5	-1	-1
15548	16082	-1	-1	-1	5	-1	-1
16271	16940	16860	-1	16912	1	-1	16860
18176	18568	-1	-1	-1	5	-1	-1
18758	19428	19346	-1	19400	1	19346	-1
20395	20396	-1	-1	-1	5	-1	-1
