start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
167	638	-1	-1	-1	5	-1	-1
827	966	-1	-1	-1	5	-1	-1
1155	1842	1744	-1	-1	2	-1	1744
2032	2742	-1	2621	2714	3	-1	-1
3709	3734	-1	-1	-1	5	-1	-1
3924	3942	-1	-1	-1	5	-1	-1
4132	4310	-1	-1	-1	5	-1	-1
4499	4675	-1	-1	-1	5	-1	-1
4865	5110	-1	-1	-1	5	-1	-1
5299	6037	5888	-1	6009	1	-1	5888
7055	7089	-1	-1	-1	5	-1	-1
7279	7521	-1	-1	-1	5	-1	-1
7711	8272	-1	-1	-1	5	-1	-1
8462	9131	9050	-1	9103	1	9050	-1
9583	9605	-1	-1	-1	5	-1	-1
9794	9804	-1	-1	-1	5	-1	-1
9994	10437	-1	-1	-1	5	-1	-1
10627	11111	-1	-1	-1	5	-1	-1
11301	11998	11889	-1	11970	1	11889	-1
12965	13246	-1	-1	-1	5	-1	-1
13753	14212	-1	-1	-1	5	-1	-1
14901	15611	-1	15490	15583	3	-1	-1
16168	16241	-1	-1	-1	5	-1	-1
16430	16799	-1	-1	-1	5	-1	-1
16989	17411	-1	-1	-1	5	-1	-1
17601	18311	-1	18189	18283	3	-1	-1
18500	18520	-1	-1	-1	5	-1	-1
