start	end	visual_run_stim	visual_sit_stim	reward	trial_type	salient_stim	threshold_stim
196	897	784	-1	870	1	784	-1
1682	1911	-1	-1	-1	5	-1	-1
2100	2173	-1	-1	-1	5	-1	-1
2363	3073	-1	2951	3045	3	-1	-1
4039	4749	-1	4628	4721	3	-1	-1
5351	5468	-1	-1	-1	5	-1	-1
5658	6144	-1	-1	-1	5	-1	-1
6333	7020	6922	-1	-1	2	-1	6922
7210	7897	7798	-1	-1	2	-1	7798
8086	8804	8675	-1	8776	1	8675	-1
9239	9245	-1	-1	-1	5	-1	-1
9434	9446	-1	-1	-1	5	-1	-1
9635	10159	-1	-1	-1	5	-1	-1
10349	11059	-1	10937	11031	3	-1	-1
11762	12108	-1	-1	-1	5	-1	-1
12298	12715	-1	-1	-1	5	-1	-1
12905	13615	-1	13493	13587	3	-1	-1
14066	14075	-1	-1	-1	5	-1	-1
14265	14454	-1	-1	-1	5	-1	-1
14644	14906	-1	-1	-1	5	-1	-1
15095	15805	-1	15684	15777	3	-1	-1
16505	16593	-1	-1	-1	5	-1	-1
16850	17190	-1	-1	-1	5	-1	-1
